321	AFB	(6-6-4-4-3-3, 13-13, 11-11-2-2)
321	AFC	(13-13, 11-11-2-2, 11-11-2-2)
321	AFD	(11-11-2-2, 11-11-2-2, 9-9-4-4)
321	AFE	(11-11-2-2, 9-9-4-4, 12-12-1-1)
321	AFF	(9-9-4-4, 12-12-1-1, 13-13)
321	AFG	(12-12-1-1, 13-13, 11-11-2-2)
321	AFH	(13-13, 11-11-2-2, 13-13)
321	AFI	(11-11-2-2, 13-13, 9-9-3-3-1-1)
321	AFJ	(13-13, 9-9-3-3-1-1, 7-7-6-6)
321	AFK	(9-9-3-3-1-1, 7-7-6-6, 6-6-5-5-2-2)
321	AFL	(7-7-6-6, 6-6-5-5-2-2, 7-7-3-3-2-2-1-1)
321	AFM	(6-6-5-5-2-2, 7-7-3-3-2-2-1-1, 12-12-1-1)
321	AFN	(7-7-3-3-2-2-1-1, 12-12-1-1, 13-13)
321	AFO	(12-12-1-1, 13-13, 13-13)
321	AFP	(13-13, 13-13, 8-8-5-5)
321	AFQ	(13-13, 8-8-5-5, 13-13)
321	AFR	(7-7-6-6, 10-10-2-2-1-1, 12-12-1-1)
321	AFS	(10-10-2-2-1-1, 12-12-1-1, 6-6-6-6-1-1)
321	AFT	(12-12-1-1, 6-6-6-6-1-1, 10-10-2-2-1-1)
321	AFU	(6-6-6-6-1-1, 10-10-2-2-1-1, 9-9-4-4)
321	AFV	(10-10-2-2-1-1, 9-9-4-4, 11-11-2-2)
321	AFW	(9-9-4-4, 11-11-2-2, 9-9-2-2-2-2)
321	AFX	(11-11-2-2, 9-9-2-2-2-2, 7-7-6-6)
321	AFY	(9-9-2-2-2-2, 7-7-6-6, 10-10-3-3)
321	AFZ	(7-7-6-6, 10-10-3-3, 6-6-4-4-3-3)
321	AGA	(8-8-2-2-1-1-1-1-1-1, 10-10-2-2-1-1, 7-7-6-6)
321	AGB	(10-10-2-2-1-1, 7-7-6-6, 11-11-1-1-1-1)
321	AGC	(7-7-6-6, 11-11-1-1-1-1, 6-6-4-4-3-3)
321	AGD	(11-11-1-1-1-1, 6-6-4-4-3-3, 13-13)
321	AGE	(6-6-4-4-3-3, 13-13, 9-9-3-3-1-1)
321	AGF	(13-13, 9-9-3-3-1-1, 9-9-2-2-1-1-1-1)
321	AGG	(9-9-3-3-1-1, 9-9-2-2-1-1-1-1, 8-8-5-5)
321	AGH	(9-9-2-2-1-1-1-1, 8-8-5-5, 7-7-5-5-1-1)
321	AGI	(8-8-5-5, 7-7-5-5-1-1, 11-11-2-2)
321	AGJ	(7-7-5-5-1-1, 11-11-2-2, 7-7-6-6)
321	AGK	(11-11-2-2, 7-7-6-6, 13-13)
321	AGL	(7-7-6-6, 13-13, 5-5-5-5-2-2-1-1)
321	AGM	(13-13, 5-5-5-5-2-2-1-1, 13-13)
321	AGN	(5-5-5-5-2-2-1-1, 13-13, 13-13)
321	AGO	(13-13, 13-13, 13-13)
321	AGP	(13-13, 13-13, 13-13)
321	AGQ	(13-13, 13-13, 5-5-4-4-3-3-1-1)
321	AGR	(8-8-5-5, 13-13, 13-13)
321	AGS	(13-13, 13-13, 12-12-1-1)
321	AGT	(13-13, 12-12-1-1, 6-6-4-4-1-1-1-1-1-1)
321	AGU	(12-12-1-1, 6-6-4-4-1-1-1-1-1-1, 13-13)
321	AGV	(6-6-4-4-1-1-1-1-1-1, 13-13, 6-6-4-4-2-2-1-1)
321	AGW	(13-13, 6-6-4-4-2-2-1-1, 11-11-2-2)
321	AGX	(6-6-4-4-2-2-1-1, 11-11-2-2, 13-13)
321	AGY	(11-11-2-2, 13-13, 8-8-2-2-1-1-1-1-1-1)
321	AGZ	(13-13, 8-8-2-2-1-1-1-1-1-1, 10-10-2-2-1-1)
321	AHA	(7-7-3-3-2-2-1-1, 13-13, 13-13)
321	AHB	(13-13, 13-13, 7-7-3-3-3-3)
321	AHC	(13-13, 7-7-3-3-3-3, 12-12-1-1)
321	AHD	(7-7-3-3-3-3, 12-12-1-1, 5-5-5-5-2-2-1-1)
321	AHE	(12-12-1-1, 5-5-5-5-2-2-1-1, 13-13)
321	AHF	(5-5-5-5-2-2-1-1, 13-13, 10-10-3-3)
321	AHG	(13-13, 10-10-3-3, 8-8-5-5)
321	AHH	(10-10-3-3, 8-8-5-5, 11-11-2-2)
321	AHI	(8-8-5-5, 11-11-2-2, 8-8-4-4-1-1)
321	AHJ	(11-11-2-2, 8-8-4-4-1-1, 11-11-2-2)
321	AHK	(8-8-4-4-1-1, 11-11-2-2, 11-11-1-1-1-1)
321	AHL	(11-11-2-2, 11-11-1-1-1-1, 11-11-2-2)
321	AHM	(11-11-1-1-1-1, 11-11-2-2, 13-13)
321	AHN	(11-11-2-2, 13-13, 12-12-1-1)
321	AHO	(13-13, 12-12-1-1, 12-12-1-1)
321	AHP	(12-12-1-1, 12-12-1-1, 12-12-1-1)
321	AHQ	(12-12-1-1, 12-12-1-1, 13-13)
321	AHR	(13-13, 5-5-4-4-3-3-1-1, 13-13)
321	AHS	(5-5-4-4-3-3-1-1, 13-13, 10-10-2-2-1-1)
321	AHT	(13-13, 10-10-2-2-1-1, 13-13)
321	AHU	(10-10-2-2-1-1, 13-13, 7-7-6-6)
321	AHV	(13-13, 7-7-6-6, 10-10-2-2-1-1)
321	AHW	(7-7-6-6, 10-10-2-2-1-1, 8-8-5-5)
321	AHX	(10-10-2-2-1-1, 8-8-5-5, 10-10-3-3)
321	AHY	(8-8-5-5, 10-10-3-3, 7-7-3-3-2-2-1-1)
321	AHZ	(10-10-3-3, 7-7-3-3-2-2-1-1, 13-13)
321	AIA	(13-13, 6-6-5-5-2-2, 10-10-3-3)
321	AIB	(6-6-5-5-2-2, 10-10-3-3, 10-10-3-3)
321	AIC	(10-10-3-3, 10-10-3-3, 13-13)
321	AID	(10-10-3-3, 13-13, 13-13)
